Species,Trait,HighestTrait,CTmax_point,CTmax_lower,CTmax_upper,CTmin_point,CTmin_lower,CTmin_upper,Topt_point,Topt_lower,Topt_upper,Diurnal,Nocturnal,Crepuscular,Source
Culex_annulirostris,MDR,MDR,39.2,37.9,40.1,11.1,7.7,14.4,32.8,31.6,33.6,,,,Mordecai et al. 2019
Culex_pipiens,MDR,EggViability,38.5,37.6,39.8,0.1,0,4,30.9,30.2,31.9,,,,Mordecai et al. 2019
Culex_quinquefasciatus,MDR,BitingRate,38.6,37.4,40.6,0.1,0,5.5,31,30,32.6,0,1,1,Mordecai et al. 2019
Culex_tarsalis,MDR,ImmatureSurvival,39.9,37.9,42.2,4.3,0,8.4,32.3,31,34,,,,Mordecai et al. 2019
Culiseta_melanura,MDR,MDR,37.6,35.1,40.4,8.6,0,16.8,31.1,28.7,33.7,,,,Mordecai et al. 2019
Culex_pipiens,ProportionOvipositing,EggViability,33.2,30.1,37.5,8.2,4.6,12.1,20.8,18.6,23.4,,,,Mordecai et al. 2019
Culex_quinquefasciatus,ProportionOvipositing,BitingRate,31.8,31.1,32.2,1.7,0.2,4.8,24.9,21.8,26,0,1,1,Mordecai et al. 2019
Culiseta_melanura,ProportionOvipositing,MDR,33.6,32.5,35.4,8.7,6.9,10.4,20.7,16.9,22.3,,,,Mordecai et al. 2019
Aedes_sierrensis_EUG,PupalDevRate,Fecundity,32.18891486,31.46193676,32.97403147,5.566826784,3.502370851,7.607114787,26.3764,25.5,27,,,,Couper et al. 2023
Aedes_sierrensis_HOP,PupalDevRate,Fecundity,32.71252966,32.01596404,33.53524355,6.22546788,4.482861689,8.040920809,26.87433333,26.5,27.5,,,,Couper et al. 2023
Aedes_sierrensis_JRA,PupalDevRate,Fecundity,32.25785168,31.67414063,32.86743015,5.380253379,3.833765876,7.068884387,26.4174,26,27,,,,Couper et al. 2023
Aedes_sierrensis_MAR1,PupalDevRate,Fecundity,32.29143569,31.89291027,32.79549648,6.815672388,5.256340511,8.243079183,26.59593333,26.5,27,,,,Couper et al. 2023
