gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
177213715,88e38292-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889",Culex annulirostris,,AU,Cairns:Queerah Meatworks,Queensland,PRESENT,NA,5ab24120-de25-11dc-9a41-b8a03c50a862,-17,145.75,NA,NA,NA,NA,NA,NA,1979-04-01T00:00:00,NA,4,1979,1652660,1652660,PRESERVED_SPECIMEN,UQIC,UQIC,21219,,,,CC_BY_4_0,,No data,NA,NA,2023-05-23T02:57:15.627Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
177213714,88e38292-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889",Culex annulirostris,,AU,Cairns:Queerah Meatworks,Queensland,PRESENT,NA,5ab24120-de25-11dc-9a41-b8a03c50a862,-17,145.75,NA,NA,NA,NA,NA,NA,1979-04-01T00:00:00,NA,4,1979,1652660,1652660,PRESERVED_SPECIMEN,UQIC,UQIC,21218,,,,CC_BY_4_0,,No data,NA,NA,2023-05-23T02:57:15.606Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
177213713,88e38292-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889",Culex annulirostris,,AU,Cairns:Queerah Meatworks,Queensland,PRESENT,NA,5ab24120-de25-11dc-9a41-b8a03c50a862,-17,145.75,NA,NA,NA,NA,NA,NA,1979-04-01T00:00:00,NA,4,1979,1652660,1652660,PRESERVED_SPECIMEN,UQIC,UQIC,21217,,,,CC_BY_4_0,,No data,NA,NA,2023-05-23T02:57:15.616Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
177213712,88e38292-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889",Culex annulirostris,,AU,Cairns:Queerah Meatworks,Queensland,PRESENT,NA,5ab24120-de25-11dc-9a41-b8a03c50a862,-17,145.75,NA,NA,NA,NA,NA,NA,1979-04-01T00:00:00,NA,4,1979,1652660,1652660,PRESERVED_SPECIMEN,UQIC,UQIC,21216,,,,CC_BY_4_0,,No data,NA,NA,2023-05-23T02:57:15.543Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
177213711,88e38292-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889",Culex annulirostris,,AU,Cairns:Queerah Meatworks,Queensland,PRESENT,NA,5ab24120-de25-11dc-9a41-b8a03c50a862,-17,145.75,NA,NA,NA,NA,NA,NA,1979-04-01T00:00:00,NA,4,1979,1652660,1652660,PRESERVED_SPECIMEN,UQIC,UQIC,21215,,,,CC_BY_4_0,,No data,NA,NA,2023-05-23T02:57:12.769Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
177213710,88e38292-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889",Culex annulirostris,,AU,Cairns:Queerah Meatworks,Queensland,PRESENT,NA,5ab24120-de25-11dc-9a41-b8a03c50a862,-17,145.75,NA,NA,NA,NA,NA,NA,1979-04-01T00:00:00,NA,4,1979,1652660,1652660,PRESERVED_SPECIMEN,UQIC,UQIC,21214,,,,CC_BY_4_0,,No data,NA,NA,2023-05-23T02:57:12.740Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
177213709,88e38292-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889",Culex annulirostris,,AU,Cairns:Queerah Meatworks,Queensland,PRESENT,NA,5ab24120-de25-11dc-9a41-b8a03c50a862,-17,145.75,NA,NA,NA,NA,NA,NA,1979-04-01T00:00:00,NA,4,1979,1652660,1652660,PRESERVED_SPECIMEN,UQIC,UQIC,21213,,,,CC_BY_4_0,,No data,NA,NA,2023-05-23T02:57:12.745Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
177213708,88e38292-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889",Culex annulirostris,,AU,Cairns:Queerah Meatworks,Queensland,PRESENT,NA,5ab24120-de25-11dc-9a41-b8a03c50a862,-17,145.75,NA,NA,NA,NA,NA,NA,1979-04-01T00:00:00,NA,4,1979,1652660,1652660,PRESERVED_SPECIMEN,UQIC,UQIC,21212,,,,CC_BY_4_0,,No data,NA,NA,2023-05-23T02:57:12.771Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
177213707,88e38292-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889",Culex annulirostris,,AU,Cairns:Queerah Meatworks,Queensland,PRESENT,NA,5ab24120-de25-11dc-9a41-b8a03c50a862,-17,145.75,NA,NA,NA,NA,NA,NA,1979-04-01T00:00:00,NA,4,1979,1652660,1652660,PRESERVED_SPECIMEN,UQIC,UQIC,21211,,,,CC_BY_4_0,,No data,NA,NA,2023-05-23T02:57:19.786Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
177213706,88e38292-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889",Culex annulirostris,,AU,Cairns:Queerah Meatworks,Queensland,PRESENT,NA,5ab24120-de25-11dc-9a41-b8a03c50a862,-17,145.75,NA,NA,NA,NA,NA,NA,1979-04-01T00:00:00,NA,4,1979,1652660,1652660,PRESERVED_SPECIMEN,UQIC,UQIC,21210,,,,CC_BY_4_0,,No data,NA,NA,2023-05-23T02:57:19.674Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
177213705,88e38292-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889",Culex annulirostris,,AU,Cairns:Queerah Meatworks,Queensland,PRESENT,NA,5ab24120-de25-11dc-9a41-b8a03c50a862,-17,145.75,NA,NA,NA,NA,NA,NA,1979-04-01T00:00:00,NA,4,1979,1652660,1652660,PRESERVED_SPECIMEN,UQIC,UQIC,21209,,,,CC_BY_4_0,,No data,NA,NA,2023-05-23T02:57:19.648Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
177213704,88e38292-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex annulirostris,,SPECIES,"Culex annulirostris Skuse, 1889",Culex annulirostris,,AU,Cairns:Queerah Meatworks,Queensland,PRESENT,NA,5ab24120-de25-11dc-9a41-b8a03c50a862,-17,145.75,NA,NA,NA,NA,NA,NA,1979-04-01T00:00:00,NA,4,1979,1652660,1652660,PRESERVED_SPECIMEN,UQIC,UQIC,21208,,,,CC_BY_4_0,,No data,NA,NA,2023-05-23T02:57:19.386Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
