publication_year,country,site_id,site_name,area_type,control,control_method,month_start,month_end,year_start,year_end,anopheline_source,assi,identification_method1,identification_method2,identification_method3,identification_method4,anopheline_map,sample_method1,n1,sample_method2,n2,sample_method3,n3,sample_method4,n4,citation,pubmed_id,LongitudeF,Longitude,Latitude,elevation,elev_units
2012,Iran,2146280793,Daranar,point,no,,7,7,2009,2010,Anopheles stephensi,,m,,,,Anopheles stephensi,ro,3,hri,26,mb,4,l,43,"Soleimani-Ahmadi, M, Vatandoost, H, Shaeghi, M, Raeisi, A, Abedi, F, Eshraghian, MR, Madani, A, Safari, R, Shahi, M, Mojahedi, A and Poorahmad-Garbandi, F. (2012).  <b>Vector ecology and susceptibility in a malaria-endemic focus in southern Islamic Republic of Iran.</b> <i>Eastern Mediterranean health journal = La revue de santé de la Méditerranée orientale = al-Majallah al-ṣiḥḥīyah li-sharq al-mutawassiṭ</i>, <b>18</b>(10):1034-41",23301358,58,58.3833,26.25,438,meters
2006,Iran,1000007036,Nickshahr,wide area,,,,,,,Anopheles stephensi,,m,pcr,dna,,Anopheles stephensi,ro,,mb,,ard,,hri,,"Oshaghi, M.A., Yaaghoobi, F. and Abaie, M.R. (2006).  <b>Pattern of mitochondrial DNA variation between and within <i>Anopheles stephensi</i> (Diptera: Culicidae) biological forms suggests extensive gene flow.</b> <i>Acta Tropica</i>, <b>99</b>(2-3):226-33",16989757,59,59.8859,27.3632,429,meters
2006,Iran,1000005776,Iranshahr,point,,,4,10,2002,2002,Anopheles stephensi,,m,,,,Anopheles stephensi,ard,,hri,,,,,,"Djadid, N.D., Gholizadeh, S., Aghajari, M., Zehi, A.H., Raeisi, A. and Zakeri, S. (2006).  <b>Genetic analysis of rDNA-ITS2 and RAPD loci in field populations of the malaria vector, <i>Anopheles stephensi</i> (Diptera: Culicidae): implications for the control program in Iran.</b> <i>Acta Tropica</i>, <b>97</b>(1):65-74",16188214,60,60.689,27.207,586,meters
2006,Iran,1000005779,Khash,point,,,4,10,2002,2002,Anopheles stephensi,,m,,,,Anopheles stephensi,ard,,hri,,,,,,"Djadid, N.D., Gholizadeh, S., Aghajari, M., Zehi, A.H., Raeisi, A. and Zakeri, S. (2006).  <b>Genetic analysis of rDNA-ITS2 and RAPD loci in field populations of the malaria vector, <i>Anopheles stephensi</i> (Diptera: Culicidae): implications for the control program in Iran.</b> <i>Acta Tropica</i>, <b>97</b>(1):65-74",16188214,61,61.207,28.226,1386,meters
2014,Pakistan,2146280700,Gadap,point,,,1,12,,,Anopheles stephensi,,m,,,,Anopheles stephensi,hri,0,,,,,,,"Shaikh, S, Kazmi, SJH and Qureshi, S. (2014).  <b>Monitoring the diversity of malaria and dengue vector in Karachi: studying variation of genera
and subgenera of mosquitoes under different
ecological conditions.</b> <b>3</b>(1):12",,67,67.2605,25.1133,142,meters
1996,Pakistan,30298,Wadja Ghora,point,no,,9,9,1989,1989,Anopheles stephensi,,?,,,,Anopheles stephensi,hri,,owt,,,,,,"Bouma, M.J., Parvez, S.D., Nesbit, R. and Winkler, A.M. (1996).  <b>Malaria control using permethrin applied to tents of nomadic Afghan refugees in northern Pakistan.</b> <i>Bulletin of the World Health Organization</i>, <b>74</b>(4):413-21",8823964,69,69.592,32.318,1445,meters
2013,Pakistan,2146280689,Rajinpur Kot Methan Road,point,,,6,9,2011,2011,Anopheles stephensi,,m,,,,Anopheles stephensi,hri,,ard,,,,,,"Rathor, HR, Nadeem, G and Khan, IA. (2013).  <b>Pesticide susceptibility status of <i>Anopheles</i> mosquitoes in four flood-affected districts of South Punjab, Pakistan.</b> <i>Vector borne and zoonotic diseases (Larchmont, N.Y.)</i>, <b>13</b>(1):60-6",23199276,70,70.1806,28.8714,86,meters
2004,Pakistan,30279,Adizai refugee settlement,point,no,,7,7,1999,1999,Anopheles stephensi,,?,,,,Anopheles stephensi,hri,,ard,,olt,,,,"Rowland, M., Downey, G., Rab, A., Freeman, T., Mohammad, N., Rehman, H., Durrani, N., Reyburn, H., Curtis, C., Lines, J. and Fayaz, M. (2004).  <b>DEET mosquito repellent provides personal protection against malaria: a household randomized trial in an Afghan refugee camp in Pakistan.</b> <i>Tropical Medicine & International Health</i>, <b>9</b>(3):335-42",14996362,71,71.532,34.101,319,meters
2014,Pakistan,2146280646,Kotan Adda,point,,,11,11,2012,2012,Anopheles stephensi,,m,pcr,,,Anopheles stephensi,?,,,,,,,,"Ashfaq, M, Herbert, PD, Mirza, JH, Khan, AM, Zafar, Y and Mirza, MS. (2014).  <b>Analyzing mosquito (Diptera: culicidae) diversity in Pakistan by DNA barcoding.</b> <i>PloS One</i>, <b>9</b>(5):e97268",,72,72.877,30.98,169,meters
2014,Pakistan,2146280676,Kashmir Point,point,,,,,2012,2013,Anopheles stephensi,,m,,,,Anopheles stephensi,hri,0,ro,0,,,,,"Qasim, M, Naeem, M and Bodlah, I. (2014).  <b>Mosquito (Diptera: Culicidae) of Murree Hills, Punjab, Pakistan.</b> <i>Pakistan Journal of Zoology</i>, <b>46</b>(2):523-529",,73,73.3999,33.9,1761,meters
