VECTOR,OCCURRENCE_ID,SOURCE_TYPE,LOCATION_TYPE,POLYGON_ADMIN,YEAR,COUNTRY,COUNTRY_ID,GAUL_AD0,LongitudeF,Longitude,Latitude,elevation,elev_units
Aedes albopictus,41019,published,point,-999,,Indonesia,IDN,1013696,123,123.58,-10.17,81,meters
Aedes albopictus,39889,published,point,-999,,Timor-Leste,TLS,242,125,125.05,-8.97,516,meters
Aedes albopictus,39888,published,point,-999,,Timor-Leste,TLS,242,125,125.22,-9,271,meters
Aedes albopictus,39892,published,point,-999,,Papua New Guinea,PNG,1011441,141,141.3,-6.12,32,meters
Aedes albopictus,40319,published,point,-999,2005,Australia,AUS,17,142,142.18,-9.95,6,meters
Aedes albopictus,40976,published,point,-999,,Papua New Guinea,PNG,1011441,142,142.73,-9.27,10,meters
Aedes albopictus,40322,published,point,-999,2005,Australia,AUS,17,143,143.77,-9.6,4,meters
Aedes albopictus,40656,published,point,-999,1992,Papua New Guinea,PNG,1011441,143,143.21,-9.09,4,meters
Aedes albopictus,40320,published,point,-999,2005,Australia,AUS,17,144,144.06,-9.92,3,meters
Aedes albopictus,39891,published,point,-999,,Papua New Guinea,PNG,1011441,146,146.99,-6.72,22,meters
Aedes albopictus,39887,published,point,-999,,Papua New Guinea,PNG,1011441,147,147.19,-9.48,77,meters
Aedes albopictus,40196,published,point,-999,2004,Colombia,COL,57,-77,-77.04,3.88,3,meters
Aedes albopictus,39935,published,point,-999,2006,Colombia,COL,57,-76,-76.52,3.45,1001,meters
Aedes albopictus,41474,published,point,-999,2003,Colombia,COL,57,-69,-69.94,-4.22,73,meters
Aedes albopictus,40987,published,point,-999,2005,Brazil,BRA,37,-60,-60.14,-3.23,51,meters
Aedes albopictus,40990,published,point,-999,2005,Brazil,BRA,37,-59,-59.99,-3.11,47,meters
Aedes albopictus,40809,published,point,-999,2002,Brazil,BRA,37,-52,-52.7,-3.42,179,meters
Aedes albopictus,40712,published,point,-999,1997,Brazil,BRA,37,-44,-44.23,-2.48,8,meters
Aedes albopictus,40926,published,point,-999,2005,Brazil,BRA,37,-38,-38.55,-3.76,26,meters
Aedes albopictus,41513,published,point,-999,2007,Gabon,GAB,89,9,9.48,0.4,30,meters
Aedes albopictus,41378,published,point,-999,2007,Cameroon,CMR,45,10,10.55,3.83,229,meters
Aedes albopictus,41266,published,point,-999,2009,Cameroon,CMR,45,11,11.5,3.9,775,meters
Aedes albopictus,41528,published,point,-999,2007,Cameroon,CMR,45,12,12.53,3.91,672,meters
Aedes albopictus,41310,published,point,-999,2010,Gabon,GAB,89,13,13.1,-0.5,378,meters
Aedes albopictus,40364,published,point,-999,2002,Cameroon,CMR,45,14,14.36,4.43,627,meters
Aedes albopictus,41130,published,point,-999,2011,Congo,COG,59,15,15.22,-4.27,325,meters
Aedes albopictus,41452,published,point,-999,2009,Central African Republic,CAF,49,16,16.05,3.52,398,meters
Aedes albopictus,41240,published,point,-999,2010,Central African Republic,CAF,49,18,18.55,4.37,359,meters
Aedes albopictus,41221,published,point,-999,2008,Seychelles,SYC,220,55,55.69,-4.32,13,meters
Aedes albopictus,39997,published,point,-999,,Malaysia,MYS,153,101,101.7,3.18,52,meters
Aedes albopictus,41674,published,point,-999,2010,Singapore,SGP,222,103,103.84,1.36,23,meters
Aedes albopictus,41467,published,point,-999,2001,Malaysia,MYS,153,104,104.07,1.75,46,meters
Aedes albopictus,40921,published,point,-999,1999,Malaysia,MYS,153,109,109.67,1.62,211,meters
Aedes albopictus,40529,published,point,-999,1987,Malaysia,MYS,153,110,110.35,1.55,11,meters
Aedes albopictus,40346,published,point,-999,1993,Malaysia,MYS,153,111,111.83,2.29,7,meters
Aedes albopictus,40102,published,point,-999,1970,Malaysia,MYS,153,113,113.98,4.4,11,meters
Aedes albopictus,41142,published,point,-999,2012,Brunei Darussalam,BRN,40,114,114.19,4.58,-1,meters
Aedes albopictus,40101,published,point,-999,1970,Malaysia,MYS,153,117,117.88,4.25,2,meters
Aedes albopictus,40103,published,point,-999,1970,Malaysia,MYS,153,118,118.6,4.47,1,meters
Aedes albopictus,40022,published,point,-999,1995,Indonesia,IDN,1013696,119,119.62,-4.42,7,meters
Aedes albopictus,40201,published,point,-999,1993,Indonesia,IDN,1013696,127,127.87,1.32,173,meters
Aedes albopictus,40978,published,point,-999,,Indonesia,IDN,1013696,136,136.56,-4.76,15,meters
Aedes albopictus,40797,published,point,-999,2002,Mexico,MEX,1006344,-92,-92.25,14.92,207,meters
Aedes albopictus,41023,published,point,-999,,Nicaragua,NIC,180,-87,-87.53,13.02,33,meters
Aedes albopictus,40913,published,point,-999,2003,Nicaragua,NIC,180,-86,-86.89,12.43,97,meters
Aedes albopictus,41025,published,point,-999,2002,Panama,PAN,191,-79,-79.39,9.08,21,meters
Aedes albopictus,41561,published,point,-999,2010,Venezuela,VEN,263,-66,-66.83,10.43,1159,meters
Aedes albopictus,40798,published,point,-999,2002,Trinidad and Tobago,TTO,246,-61,-61.62,10.68,26,meters
Aedes albopictus,41150,published,point,-999,2010,C?te d'Ivoire,CIV,66,-4,-4.01,5.27,4,meters
Aedes albopictus,40410,published,point,-999,,Nigeria,NGA,182,5,5.63,6.34,77,meters
Aedes albopictus,40587,published,point,-999,1991,Nigeria,NGA,182,6,6.22,6.22,196,meters
