Species.Pop	latitdue	longitude
Aedes_aegypti	31.57	74.37
Aedes_aegypti	29.15	76.33
Aedes_aegypti	27.23	78
Aedes_aegypti	25.31	83.01
Aedes_aegypti	26.02	89.98
Aedes_aegypti	25.57	91.88
Aedes_aegypti	25.92	93.74
Aedes_aegypti	27.02	95.57
Aedes_aegypti	32.74	129.88
Aedes_aegypti	35.42	-97.39
Aedes_aegypti	35.14	-90.04
Aedes_aegypti	37.98	-87.56
Aedes_aegypti	39.22	-85.91
Aedes_aegypti	35.49	-83.32
Aedes_aegypti	35.79	-78.65
Aedes_aegypti	35.35	-77.96
Aedes_aegypti	40.67	-74.5
Aedes_aegypti	41.18	-73.89
Aedes_aegypti	41.61	-71.25
Aedes_aegypti	38.24	27.97
Aedes_aegypti	43.10186	40.618588
Aedes_aegypti	43.00154	41.023415
Aedes_aegypti	37.46	126.95
Aedes_aegypti	35.63	139.7
Aedes_aegypti	35.75	140.38
Aedes_aegypti	46.35	-83.58
Aedes_aegypti	5	118
Aedes_aegypti	14.9	-92.25
Aedes_aegypti	13.74	-89.18
Aedes_aegypti	10.63	-85.43
Aedes_aegypti	8.43	-82.43
Aedes_aegypti	9.05	-76
Aedes_aegypti	7.47	-73.2
Aedes_aegypti	9.4	-70.56
Aedes_aegypti	8.93	-67.44
Aedes_aegypti	10.45	-64.18
Aedes_aegypti	11.26	-60.69
Aedes_aegypti	6.24	-57.52
Aedes_aegypti	5.6	-53.82
Aedes_aegypti	14.63	-16.44
Aedes_aegypti	8.7	-13.07
Aedes_aegypti	10.03	-10.73
Aedes_aegypti	9.82	-7.38
Aedes_aegypti	5.88	-4.82
Aedes_aegypti	6.72	-1.47
Aedes_aegypti	6.36	2.44
Aedes_aegypti	6.34	5.63
Aedes_aegypti	9.93	8.89
Aedes_aegypti	6.09	11.49
Aedes_aegypti	11.04	14.14
Aedes_aegypti	11.59	43.15
Aedes_aegypti	13.71	74.66
Aedes_aegypti	12.94	77.75
Aedes_aegypti	9.69	80.01
Aedes_aegypti	5.55	95.32
Aedes_aegypti	13.09	100.06
Aedes_aegypti	10.61	103.53
Aedes_aegypti	10.78	106.76
Aedes_aegypti	12.29	109.19
Aedes_aegypti	6.65	117.48
Aedes_aegypti	14.63	120.99
Aedes_aegypti	13.06	123.71
Aedes_albopictus	-10.58	-46.42
Aedes_albopictus	-12.97	-38.5
Aedes_albopictus	-9.66	-35.74
Aedes_albopictus	-8.06	-34.94
Aedes_albopictus	-8.08	-34.88
Aedes_albopictus	-12.84	45.12
Aedes_albopictus	-12.78	45.23
Aedes_albopictus	-11.57	47.29
Aedes_albopictus	-13.32	48.27
Aedes_albopictus	-13.36	48.2
Aedes_albopictus	-12.28	49.28
Aedes_albopictus	-12.27	49.3
Aedes_albopictus	-6.59	106.79
Aedes_albopictus	-6.16	106.81
Aedes_albopictus	-6.25	107.14
Aedes_albopictus	-7.68	110.35
Aedes_albopictus	-5.51	119.94
Aedes_albopictus	-8.86	121.66
Aedes_albopictus	-10.17	123.58
Aedes_albopictus	-8.97	125.05
Aedes_albopictus	-9	125.22
Aedes_albopictus	-6.12	141.3
Aedes_albopictus	-9.95	142.18
Aedes_albopictus	-9.27	142.73
Aedes_albopictus	-9.6	143.77
Aedes_albopictus	-9.09	143.21
Aedes_albopictus	-9.92	144.06
Aedes_albopictus	-6.72	146.99
Aedes_albopictus	-9.48	147.19
Aedes_albopictus	-21.13	-175.2
Aedes_albopictus	-17.53	-149.56
Aedes_albopictus	-15.54	-56.29
Aedes_albopictus	-22.2	-55.06
Aedes_albopictus	-22.08	-54.57
Aedes_albopictus	-21.78	-52.15
Aedes_albopictus	-23.42	-51.94
Aedes_albopictus	-19.99	-50.37
Aedes_albopictus	-20.82	-49.52
Aedes_albopictus	-21.13	-48.96
Aedes_albopictus	-24.5	-47.84
Aedes_albopictus	-19.68	-46.17
Aedes_albopictus	-22.94	-45.65
Aedes_albopictus	-22.58	-44.69
Aedes_albopictus	-22.9	-43.57
Aedes_albopictus	-19.94	-40.58
Aedes_albopictus	-23.36	43.66
Aedes_albopictus	-24.7	44.74
Aedes_albopictus	-20.35	45.59
Aedes_albopictus	-16.95	46.83
Aedes_albopictus	-18.32	47.12
Aedes_albopictus	-21.22	48.35
Aedes_albopictus	-18.15	49.42
Aedes_albopictus	-21.12	55.63
Aedes_albopictus	-20.35	57.76
Aedes_albopictus	-19.72	63.38
Aedes_albopictus	-17.61	177.46
Aedes_albopictus	-18.15	178.43
Aedes_albopictus	-26.41	-54.58
Aedes_albopictus	-26.06	-53.74
Aedes_albopictus	-27.46	-53.93
Aedes_albopictus	-25.45	-49.23
Aedes_albopictus	-26.92	-49.1
Aedes_albopictus	-26.21	-48.53
Aedes_albopictus	-26.32	-48.86
Aedes_albopictus	-27.53	-48.51
Aedes_albopictus	-27.6	-48.54
Aedes_albopictus	-33.93	18.44
Aedes_albopictus	-25.04	46.38
Aedes_albopictus	-36.96	174.9
Aedes_albopictus	3.88	-77.04
Aedes_albopictus	3.45	-76.52
Aedes_albopictus	-4.22	-69.94
Aedes_albopictus	-3.23	-60.14
Aedes_albopictus	-3.11	-59.99
Aedes_albopictus	-3.42	-52.7
Aedes_albopictus	-2.48	-44.23
Aedes_albopictus	-3.76	-38.55
Aedes_albopictus	0.4	9.48
Aedes_albopictus	3.83	10.55
Aedes_albopictus	3.9	11.5
Aedes_albopictus	3.91	12.53
Aedes_albopictus	-0.5	13.1
Aedes_albopictus	4.43	14.36
Aedes_albopictus	-4.27	15.22
Aedes_albopictus	3.52	16.05
Aedes_albopictus	4.37	18.55
Aedes_albopictus	-4.32	55.69
Aedes_albopictus	3.18	101.7
Aedes_albopictus	1.36	103.84
Aedes_albopictus	1.75	104.07
Aedes_albopictus	1.62	109.67
Aedes_albopictus	1.55	110.35
Aedes_albopictus	2.29	111.83
Aedes_albopictus	4.4	113.98
Aedes_albopictus	4.58	114.19
Aedes_albopictus	4.25	117.88
Aedes_albopictus	4.47	118.6
Aedes_albopictus	-4.42	119.62
Aedes_albopictus	1.32	127.87
Aedes_albopictus	-4.76	136.56
Aedes_albopictus	21.44	-158
Aedes_albopictus	21.35	-157.78
Aedes_albopictus	20.75	-155.99
Aedes_albopictus	24.86	-99.56
Aedes_albopictus	20.06	-97.04
Aedes_albopictus	17.07	-89.14
Aedes_albopictus	15.73	-88.59
Aedes_albopictus	21.15	-86.89
Aedes_albopictus	23.01	-82.4
Aedes_albopictus	24.69	-81.36
Aedes_albopictus	18.65	-74.12
Aedes_albopictus	18.33	-73.86
Aedes_albopictus	18.83	-72.1
Aedes_albopictus	18.52	-69.93
Aedes_albopictus	18.18	-66.31
Aedes_albopictus	18.54	72.93
Aedes_albopictus	18.08	73.42
Aedes_albopictus	18.24	75.69
Aedes_albopictus	23.19	82.36
Aedes_albopictus	22.23	84.81
Aedes_albopictus	22.59	88.31
Aedes_albopictus	23.71	90.41
Aedes_albopictus	16.75	98.55
Aedes_albopictus	18.58	99.01
Aedes_albopictus	18.14	100.14
Aedes_albopictus	15.08	101.9
Aedes_albopictus	23.69	102.48
Aedes_albopictus	17.1	104.95
Aedes_albopictus	17.6	105.17
Aedes_albopictus	20.33	106.36
Aedes_albopictus	22.83	108.31
Aedes_albopictus	21.48	109.11
Aedes_albopictus	20.04	110.34
Aedes_albopictus	22.34	114.21
Aedes_albopictus	23.85	116.86
Aedes_albopictus	22.61	120.3
Aedes_albopictus	25	121.5
Aedes_albopictus	15.14	145.72
Aedes_albopictus	25	121.5
Aedes_albopictus	25	121.5
Aedes_albopictus	33.77	-118.2
Aedes_albopictus	34.01	-117.7
Aedes_albopictus	32.42	-104.23
Aedes_albopictus	27.88	-101.52
Aedes_albopictus	29.31	-100.41
Aedes_albopictus	28.88	-99.1
Aedes_albopictus	27.31	-98.68
Aedes_albopictus	28.3	-97.27
Aedes_albopictus	29.68	-96.91
Aedes_albopictus	29.5	-95.33
Aedes_albopictus	29.73	-94.97
Aedes_albopictus	30.23	-93.22
Aedes_albopictus	31.32	-92.53
Aedes_albopictus	30.46	-91.15
Aedes_albopictus	29.97	-90.65
Aedes_albopictus	30.03	-89.91
Aedes_albopictus	30.69	-88.05
Aedes_albopictus	30.52	-87.28
Aedes_albopictus	30.46	-86.56
Aedes_albopictus	29.99	-85.47
Aedes_albopictus	33.94	-84.2
Aedes_albopictus	30.97	-83.18
Aedes_albopictus	34.69	-82.83
Aedes_albopictus	28.04	-81.94
Aedes_albopictus	26.82	-80.66
Aedes_albopictus	34.94	-79.78
Aedes_albopictus	34.22	-77.95
Aedes_albopictus	32.02	34.91
Aedes_albopictus	33.79	35.54
Aedes_albopictus	26.91	75.81
Aedes_albopictus	28.67	77.21
Aedes_albopictus	29.97	78.17
Aedes_albopictus	29.08	79.52
Aedes_albopictus	27.05	86.03
Aedes_albopictus	26.86	89.39
Aedes_albopictus	26.18	91.75
Aedes_albopictus	26.49	92.59
Aedes_albopictus	26.94	93.73
Aedes_albopictus	27.24	94.11
Aedes_albopictus	27.39	95.62
Aedes_albopictus	29.78097984	102.9118365
Aedes_albopictus	29.6	103.48
Aedes_albopictus	30.67	104.07
Aedes_albopictus	32.15582816	105.9652129
Aedes_albopictus	33.90892119	106.2960934
Aedes_albopictus	25.41	107.89
Aedes_albopictus	27.24	108.92
Aedes_albopictus	34.90318057	109.355353
Aedes_albopictus	25.28	110.28
Aedes_albopictus	33.03	112.58
Aedes_albopictus	34.77	113.65
Aedes_albopictus	30.57	114.28
Aedes_albopictus	26.07	119.3
Aedes_albopictus	30.28	120.12
Aedes_albopictus	25	121.5
Aedes_albopictus	33.25	126.56
Aedes_albopictus	26.2	127.7
Aedes_albopictus	26.74	128.17
Aedes_albopictus	33.54	129.9
Aedes_albopictus	31.59	130.56
Aedes_albopictus	34.8	134.98
Aedes_albopictus	34.74	136.52
Aedes_albopictus	37.66	-122.42
Aedes_albopictus	37.09	-121.6
Aedes_albopictus	40.09	-104.81
Aedes_albopictus	35.42	-97.39
Aedes_albopictus	41.83	-96.72
Aedes_albopictus	39.1	-94.58
Aedes_albopictus	37.98	-90.75
Aedes_albopictus	40.69	-89.63
Aedes_albopictus	38.87	-88.15
Aedes_albopictus	37.98	-87.57
Aedes_albopictus	39.17	-86.53
Aedes_albopictus	39.23	-85.01
Aedes_albopictus	36.1	-84.13
Aedes_albopictus	35.51	-83.3
Aedes_albopictus	37.01	-82.61
Aedes_albopictus	35.01	-81.21
Aedes_albopictus	35.79	-78.65
Aedes_albopictus	37.24	-77.5
Aedes_albopictus	38.26	-76.97
Aedes_albopictus	40.02	-75.21
Aedes_albopictus	40.43	-74.2
Aedes_albopictus	41.47	-2.08
Aedes_albopictus	41.48	2.07
Aedes_albopictus	44.4	8.97
Aedes_albopictus	39.22	9.11
Aedes_albopictus	43.71	10.61
Aedes_albopictus	42.03	11.84
Aedes_albopictus	41.94	12.89
Aedes_albopictus	41.57	13.33
Aedes_albopictus	40.85	14.28
Aedes_albopictus	41.33	19.83
Aedes_albopictus	40.62	20.79
Aedes_albopictus	40.89	26.65
Aedes_albopictus	35.38756334	110.3623593
Aedes_albopictus	35.7381035	111.0634396
Aedes_albopictus	37.59671384	113.6218904
Aedes_albopictus	37.78707072	114.4428044
Aedes_albopictus	39.70253683	116.1560164
Aedes_albopictus	41.66559216	120.3438677
Aedes_albopictus	42.29614932	123.684631
Aedes_albopictus	35.82	127.15
Aedes_albopictus	35.37	136.62
Aedes_albopictus	36.76	137.14
Aedes_albopictus	35.45	139.4
Aedes_albopictus	38.57	140.96
Aedes_albopictus	39.27	141.89
Aedes_albopictus	48.8	-0.68
Aedes_albopictus	45.91	5.19
Aedes_albopictus	45.56	6.25
Aedes_albopictus	45.08	7.68
Aedes_albopictus	45.75	8.43
Aedes_albopictus	45.54	10.22
Aedes_albopictus	45.69	11.43
Aedes_albopictus	45.78	12.83
Aedes_albopictus	45.69	13.15
Aedes_albopictus	45.79	15.9
Aedes_albopictus	14.92	-92.25
Aedes_albopictus	13.02	-87.53
Aedes_albopictus	12.43	-86.89
Aedes_albopictus	9.08	-79.39
Aedes_albopictus	10.43	-66.83
Aedes_albopictus	10.68	-61.62
Aedes_albopictus	5.27	-4.01
Aedes_albopictus	6.34	5.63
Aedes_albopictus	6.22	6.22
Aedes_albopictus	5.78	7.03
Aedes_albopictus	5.3	9.9
Aedes_albopictus	5.14	10.52
Aedes_albopictus	6.09	11.49
Aedes_albopictus	6.47	12.62
Aedes_albopictus	5.89	14.55
Aedes_albopictus	10.07	73.64
Aedes_albopictus	12.87	74.85
Aedes_albopictus	11.17	75.8
Aedes_albopictus	10.06	76.21
Aedes_albopictus	12.97	77.58
Aedes_albopictus	9.92	78.14
Aedes_albopictus	12.9	79.33
Aedes_albopictus	7.47	80.38
Aedes_albopictus	7.77	81.61
Aedes_albopictus	11.62	92.75
Aedes_albopictus	14.44	98.85
Aedes_albopictus	10.09	99.84
Aedes_albopictus	5.29	100.26
Aedes_albopictus	14.2	101.21
Aedes_albopictus	5.06	102.86
Aedes_albopictus	5.32	103.15
Aedes_albopictus	10.87	106.83
Aedes_albopictus	12.24	109.19
Aedes_albopictus	5.12	115.94
Aedes_albopictus	5.97	116.08
Aedes_albopictus	6.65	117.48
Aedes_albopictus	5.84	118.11
Aedes_albopictus	5.07	119.05
Aedes_albopictus	14.64	120.99
Aedes_albopictus	13.04	121.48
Aedes_albopictus	10.3	123.89
Aedes_albopictus	12.82	124
Aedes_albopictus	8.72	167.74
Anopheles_gambiae	-6.1259	12.3601
Anopheles_gambiae	-12.361	13.53
Anopheles_gambiae	-5.5969	14.7247
Anopheles_gambiae	-12.7573	15.7171
Anopheles_gambiae	-9.541	16.341
Anopheles_gambiae	-9.661	20.391
Anopheles_gambiae	-6.136	23.59
Anopheles_gambiae	-14.617	24.524
Anopheles_gambiae	-12.3662	26.3573
Anopheles_gambiae	-11.6628	27.4795
Anopheles_gambiae	-9.3455	28.7861
Anopheles_gambiae	-11.347	29.539
Anopheles_gambiae	-13.2326	30.234
Anopheles_gambiae	-13.7	32.767
Anopheles_gambiae	-9.933	33.936
Anopheles_gambiae	-13.7879	34.4579
Anopheles_gambiae	-12.875	35.405
Anopheles_gambiae	-7.9784	36.9808
Anopheles_gambiae	-5.649	37.949
Anopheles_gambiae	-6.462	38.951
Anopheles_gambiae	-6.0255	39.2141
Anopheles_gambiae	-14.96	40.659
Anopheles_gambiae	-11.8711	43.4317
Anopheles_gambiae	-12.217	44.316
Anopheles_gambiae	-12.7614	45.0866
Anopheles_gambiae	-14.6377	47.7505
Anopheles_gambiae	-14.017	48.616
Anopheles_gambiae	-13.8081	49.1792
Anopheles_gambiae	-14.9	50.2718
Anopheles_gambiae	-15	38.16667
Anopheles_gambiae	-8.78333	13.35
Anopheles_gambiae	-7.36667	20.86667
Anopheles_gambiae	-7.48333	21.2
Anopheles_gambiae	-10.55	28.43333
Anopheles_gambiae	-9.58333	33.86667
Anopheles_gambiae	-9.55	34.35
Anopheles_gambiae	-7.13333	35.83333
Anopheles_gambiae	-8.1001	36.5168
Anopheles_gambiae	-6.81667	37.66667
Anopheles_gambiae	-5.3	38.55
Anopheles_gambiae	-6.16667	39.2
Anopheles_gambiae	-14.21667	40.28333
Anopheles_gambiae	-12.3	43.66667
Anopheles_gambiae	-12.2	44.5
Anopheles_gambiae	-12.8206	45.14743
Anopheles_gambiae	-14.63333	47.83333
Anopheles_gambiae	-14.05	48.63333
Anopheles_gambiae	-12.7	49.2
Anopheles_gambiae	-14.902474	50.280691
Anopheles_gambiae	-15.1764	12.194
Anopheles_gambiae	-17.65	18.649
Anopheles_gambiae	-17.9714	20.9274
Anopheles_gambiae	-17.95	21.033
Anopheles_gambiae	-16.6367	23.6594
Anopheles_gambiae	-17.8672	25.5025
Anopheles_gambiae	-16.434	26.783
Anopheles_gambiae	-18.4	27.1667
Anopheles_gambiae	-15.3498	28.3188
Anopheles_gambiae	-15.8889	29.0443
Anopheles_gambiae	-15.2018	30.1612
Anopheles_gambiae	-20.3643	31.555
Anopheles_gambiae	-24.534	32.983
Anopheles_gambiae	-17.434	33.331
Anopheles_gambiae	-16.078	34.82
Anopheles_gambiae	-15.7667	35
Anopheles_gambiae	-16.8374	36.994
Anopheles_gambiae	-17.3081	37.5146
Anopheles_gambiae	-21.715	43.75
Anopheles_gambiae	-19.147	44.792
Anopheles_gambiae	-19.58	45.47
Anopheles_gambiae	-17.65	46.97
Anopheles_gambiae	-18.934	47.666
Anopheles_gambiae	-19.169	48.025
Anopheles_gambiae	-17.27	49.38
Anopheles_gambiae	-17.5	14.25
Anopheles_gambiae	-18.8	17
Anopheles_gambiae	-18.08333	21.75
Anopheles_gambiae	-18.875305	22.722124
Anopheles_gambiae	-18.05	26.6
Anopheles_gambiae	-16.05	28.8333
Anopheles_gambiae	-17.91667	29.36667
Anopheles_gambiae	-22.75	30.58333
Anopheles_gambiae	-17.33333	31.91667
Anopheles_gambiae	-20.639587	32.023894
Anopheles_gambiae	-16.16667	33.51667
Anopheles_gambiae	-18.96667	34.5
Anopheles_gambiae	-15.065292	35.114853
Anopheles_gambiae	-16.9	36
Anopheles_gambiae	-15.96667	39.25
Anopheles_gambiae	-21.73333	43.75
Anopheles_gambiae	-17.81667	44.9
Anopheles_gambiae	-22.53333	45.45
Anopheles_gambiae	-16.08333	46.66667
Anopheles_gambiae	-22.83333	47.33333
Anopheles_gambiae	-18.91667	48.85
Anopheles_gambiae	-16.91667	49.95
Anopheles_gambiae	-20.25	57.5
Anopheles_gambiae	-26.8167	31.9333
Anopheles_gambiae	-25.2638	32.8705
Anopheles_gambiae	-25.0584	33.0311
Anopheles_gambiae	-25.32	45.5
Anopheles_gambiae	-25.02	46.987
Anopheles_gambiae	-28.7	20.9667
Anopheles_gambiae	-30.98333	23.8
Anopheles_gambiae	-29.890556	30.977778
Anopheles_gambiae	-26.41667	31.8
Anopheles_gambiae	-27.7	32.25
Anopheles_gambiae	-25.05	33
Anopheles_gambiae	4.3667	-7.5167
Anopheles_gambiae	4.8167	-6.6333
Anopheles_gambiae	4.8663	-2.2387
Anopheles_gambiae	4.8239	-1.9204
Anopheles_gambiae	-1.4204	5.6221
Anopheles_gambiae	0.3	6.68
Anopheles_gambiae	1.6333	7.4167
Anopheles_gambiae	3.398	8.755
Anopheles_gambiae	0.4564	9.4207
Anopheles_gambiae	1.717	10.3
Anopheles_gambiae	1.131	11.266
Anopheles_gambiae	4.5196	12.0521
Anopheles_gambiae	4.5833	13.6834
Anopheles_gambiae	4.485	14.017
Anopheles_gambiae	-4.4094	15.3425
Anopheles_gambiae	2.9121	16.2618
Anopheles_gambiae	-3.3152	17.3856
Anopheles_gambiae	4.3726	18.5477
Anopheles_gambiae	-4.8333	23.8667
Anopheles_gambiae	0.1949	25.5291
Anopheles_gambiae	-4.0199	27.5578
Anopheles_gambiae	-2.225	28.8314
Anopheles_gambiae	-3.2068	29.3175
Anopheles_gambiae	0.8348	30.1614
Anopheles_gambiae	4.8141	31.6251
Anopheles_gambiae	-2.8333	33
Anopheles_gambiae	0.0371	34.5808
Anopheles_gambiae	0.2667	35.1333
Anopheles_gambiae	-1.4952	36.9546
Anopheles_gambiae	-3.3209	37.3295
Anopheles_gambiae	-5	38.6333
Anopheles_gambiae	-3.3343	39.9477
Anopheles_gambiae	-3.294	40.0843
Anopheles_gambiae	4.45	-7.53333
Anopheles_gambiae	4.96667	-6.13333
Anopheles_gambiae	0.2	6.65
Anopheles_gambiae	4.93333	8.36667
Anopheles_gambiae	4.04341	9.76791
Anopheles_gambiae	-0.68333	10.21667
Anopheles_gambiae	4.1	11.3
Anopheles_gambiae	-4.333333	15.333333
Anopheles_gambiae	2.709585	17.328288
Anopheles_gambiae	4.38333	18.61667
Anopheles_gambiae	0.750068	29.7001
Anopheles_gambiae	0.8	30.18333
Anopheles_gambiae	-0.63333	31.56667
Anopheles_gambiae	2.7	32.83333
Anopheles_gambiae	0.443001	33.226
Anopheles_gambiae	0.50004	34.5
Anopheles_gambiae	-1.5	35.5
Anopheles_gambiae	0.46	36.099998
Anopheles_gambiae	-3.38333	37.66667
Anopheles_gambiae	-5	38
Anopheles_gambiae	-1.25	39.63333
Anopheles_gambiae	-3.1	40
Anopheles_gambiae	16.4016	-16.2852
Anopheles_gambiae	16.266	-15.801
Anopheles_gambiae	16.666	-14.984
Anopheles_gambiae	16.25	-13.55
Anopheles_gambiae	17.9808	-12.2542
Anopheles_gambiae	16.4	-10.1667
Anopheles_gambiae	15.8172	-9.3653
Anopheles_gambiae	15.1685	-7.2901
Anopheles_gambiae	16.775	-3.008
Anopheles_gambiae	15	-2.9667
Anopheles_gambiae	15.8	-1.3333
Anopheles_gambiae	20.26	0.987
Anopheles_gambiae	18.444	1.402
Anopheles_gambiae	16.992	7.979
Anopheles_gambiae	16.01667	-16.5
Anopheles_gambiae	16.58333	-15.03333
Anopheles_gambiae	16.08333	-14.23333
Anopheles_gambiae	16.25	-13.1
Anopheles_gambiae	15.06667	-10.58333
Anopheles_gambiae	15.06667	-9.13333
Anopheles_gambiae	16.31667	-3.31667
Anopheles_gambiae	15	-2.96667
Anopheles_gambiae	15.8	-1.33333
Anopheles_gambiae	19.33333	0.83333
Anopheles_gambiae	18.41667	1.33333
Anopheles_gambiae	14.914	-17.069
Anopheles_gambiae	13.4038	-16.6752
Anopheles_gambiae	13.5821	-15.5538
Anopheles_gambiae	10.8366	-14.2479
