Species.Pop,HighestTrait,lat,lon,maxtemp_point,maxtemp_lower,maxtemp_upper,maxtemp_NoB_point,maxtemp_NoB_lower,maxtemp_NoB_upper,tolerance_point,tolerance_lower,tolerance_upper,tolerance_NoB_point,tolerance_NoB_lower,tolerance_NoB_upper,tolerance_Tpref_point,tolerance_Tpref_lower,tolerance_Tpref_upper,numhours_point,numhours_lower,numhours_upper,numhours_NoB_point,numhours_NoB_lower,numhours_NoB_upper,streak_point,streak_lower,streak_upper,streak_NoB_point,streak_NoB_lower,streak_NoB_upper,streak_days_point,streak_days_lower,streak_days_upper,streak_days_nob_point,streak_days_nob_lower,streak_days_nob_upper,AdultLifespan,maxtemp_point2,maxtemp_lower2,maxtemp_upper2,maxtemp_NoB_point2,maxtemp_NoB_lower2,maxtemp_NoB_upper2,tolerance_point2,tolerance_lower2,tolerance_upper2,tolerance_NoB_point2,tolerance_NoB_lower2,tolerance_NoB_upper2,tolerance_Tpref_point2,tolerance_Tpref_lower2,tolerance_Tpref_upper2,numhours_point2,numhours_lower2,numhours_upper2,numhours_NoB_point2,numhours_NoB_lower2,numhours_NoB_upper2,streak_point2,streak_lower2,streak_upper2,streak_NoB_point2,streak_NoB_lower2,streak_NoB_upper2,streak_days_point2,streak_days_lower2,streak_days_upper2,streak_days_nob_point2,streak_days_nob_lower2,streak_days_nob_upper2,elevation,ScaledTSM,BIOME
Aedes_aegypti,BitingRate,-9.67,-35.74,"31.6976897","31.6976897","31.6976897","31.6976897","31.6976897","31.6976897","8.3023103","8.3023103","8.7023103","8.3023103","8.3023103","8.7023103","9.21242372","9.534772134","9.117072086","0","0","0","0","0","0",,,,,,,,,,,,,AdultLifespan,"30.46514716","30.46514716","30.46514716","31.45235549","31.45235549","31.45235549","6.984852842","4.434852842","9.534852842","5.99764451","3.44764451","8.54764451","6.984852842","4.434852842","9.534852842","0","0","0","0","0","0",,,,,,,,,,,,,"5","0.715646804027127",14.00000000000
Aedes_aegypti,BitingRate,-8.81,13.23,"33.79948707","32.99995687","34.2965059","35.38825845","35.38825845","35.38825845","6.200512927","7.000043126","6.103494096","4.611741546","4.611741546","5.011741546","7.285920188","7.285920188","7.685920188","0","0","0","0","0","0",,,,,,,,,,,,,AdultLifespan,"32.71398263","32.71398263","32.71398263","35.38825845","35.38825845","35.38825845","4.736017367","2.186017367","7.286017367","2.061741546","-0.488258454","4.611741546","4.736017367","2.186017367","7.286017367","0","0","0","0","14","0",,,,,"3",,,,,,"3",,"0","0.61828831655955",10.00000000000
Aedes_aegypti,BitingRate,-8.97,36.3,"35.19252953","35.19252953","35.19252953","39.04215765","39.04215748","39.04215765","4.807470475","4.807470475","5.207470475","0.957842349","0.95784252","1.357842349","4.807470475","4.807470475","5.207470475","0","0","0","0","0","0",,,,,,,,,,,,,AdultLifespan,"35.19252953","35.19252953","35.19252953","39.04215748","39.04215748","39.04215748","2.257470475","-0.292529525","4.807470475","-1.59215748","-4.14215748","0.95784252","2.257470475","-0.292529525","4.807470475","0","5","0","20","94","0",,"2",,"3","6",,,"2",,"6","7",,"339","0.510984968135369",7.00000000000
Aedes_aegypti,BitingRate,-6.82,39.28,"34.28265471","34.28265471","34.29961393","36.56128481","36.56128481","36.56128481","5.717345286","5.717345286","6.100386073","3.438715185","3.438715185","3.838715185","5.717345286","5.717345286","6.117345286","0","0","0","0","0","0",,,,,,,,,,,,,AdultLifespan,"34.28265471","34.28265471","34.28265471","36.56128481","36.56128481","36.56128481","3.167345286","0.617345286","5.717345286","0.888715185","-1.661284815","3.438715185","3.167345286","0.617345286","5.717345286","0","0","0","0","13","0",,,,,"4",,,,,,"2",,"11","0.550376038032916",1.00000000000
Aedes_aegypti,BitingRate,-12.25,44.41,"33.7952389","32.99896467","34.29466969","35.57692879","35.57692879","35.57692879","6.204761097","7.001035326","6.105330311","4.423071211","4.423071211","4.823071211","8.900014061","8.900014061","9.100033064","0","0","0","0","0","0",,,,,,,,,,,,,AdultLifespan,"31.0999018","31.0999018","31.0999018","35.57692879","35.57692879","35.57692879","6.350098199","3.800098199","8.900098199","1.873071211","-0.676928789","4.423071211","6.350098199","3.800098199","8.900098199","0","0","0","0","4","0",,,,,"3",,,,,,"1",,"425","0.688166469141579",1.00000000000
Aedes_aegypti,BitingRate,-6.16,106.81,"34.51572161","34.51572161","34.51572161","37.43641928","37.43641928","37.43641928","5.484278388","5.484278388","5.884278388","2.563580719","2.563580719","2.963580719","5.484278388","5.484278388","5.884278388","0","0","0","0","0","0",,,,,,,,,,,,,AdultLifespan,"34.51572161","34.51572161","34.51572161","37.43641928","37.43641928","37.43641928","2.934278388","0.384278388","5.484278388","0.013580719","-2.536419281","2.563580719","2.934278388","0.384278388","5.484278388","0","0","0","0","162","0",,,,,"5",,,,,,"8",,"5","0.540285908754766",1.00000000000
Aedes_aegypti,BitingRate,-6.76,108.55,"33.79950976","33.68705546","34.29930516","38.05436908","38.05436908","38.05436908","6.200490245","6.312944541","6.100694836","1.945630916","1.945630916","2.345630916","6.312944541","6.312944541","6.712944541","0","0","0","0","0","0",,,,,,,,,,,,,AdultLifespan,"33.6869523","33.6869523","33.68705546","38.05436908","38.05436908","38.05436908","3.763047703","1.213047703","6.312944541","-0.604369084","-3.154369084","1.945630916","3.763047703","1.213047703","6.313047703","0","0","0","1","32","0",,,,"1","4",,,,,"1","4",,"15","0.576165690919773",1.00000000000
Aedes_aegypti,BitingRate,-7.26,112.72,"36.49401603","36.49401603","36.49401603","40.54356571","40.54356571","40.54356571","3.505983974","3.505983974","3.905983974","-0.543565713","-0.543565713","-0.143565713","3.505983974","3.505983974","3.905983974","0","0","0","2","2","2",,,,"2","2","2",,,,"1","1","1",AdultLifespan,"36.49401603","36.49401603","36.49401603","40.54356571","40.54356571","40.54356571","0.955983974","-1.594016026","3.505983974","-3.093565713","-5.643565713","-0.543565713","0.955983974","-1.594016026","3.505983974","0","46","0","30","476","2",,"4",,"5","8","2",,"4",,"3","26","1","4","0.454639913725896",1.00000000000
Aedes_aegypti,BitingRate,-5.51,119.94,"33.7974645","33.0535639","34.29923333","35.87499449","35.87499449","35.87499449","6.202535496","6.946436101","6.10076667","4.125005514","4.125005514","4.525005514","6.946436101","6.946436101","7.346436101","0","0","0","0","0","0",,,,,,,,,,,,,AdultLifespan,"33.0535639","33.0535639","33.0535639","35.87499449","35.87499449","35.87499449","4.396436101","1.846436101","6.946436101","1.575005514","-0.974994486","4.125005514","4.396436101","1.846436101","6.946436101","0","0","0","0","7","0",,,,,"3",,,,,,"2",,"306","0.6035868771712",1.00000000000
Aedes_aegypti,BitingRate,-8.33,123.25,"33.75998247","32.99392101","33.7599866","33.75998247","33.29404948","33.7599866","6.240017529","7.006078987","6.640013405","6.240017529","6.705950521","6.640013405","9.200159174","10.00033983","9.100593409","0","0","0","0","0","0",,,,,,,,,,,,,AdultLifespan,"29.44003067","29.44003067","29.44003067","33.29404948","33.29404948","33.29404948","8.009969329","5.459969329","10.55996933","4.155950521","1.605950521","6.705950521","8.009969329","5.459969329","10.55996933","0","0","0","0","0","0",,,,,,,,,,,,,"829","0.76002701403444",2.00000000000
